Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return
2022-01-03 00:00:00+05:30,109.73171790265272,110.57965523945383,108.8452235240001,110.27131652832031,3765911,,
2022-01-04 00:00:00+05:30,110.30986653341482,114.54958868615115,110.30986653341482,113.93289947509766,16351836,0.033205216569958784,0.03266583117178801
2022-01-05 00:00:00+05:30,114.4724593584428,116.47669567505153,113.62451051010117,115.89855194091797,12977680,0.017252720459817183,0.017105582223750915
2022-01-06 00:00:00+05:30,116.09129116755781,116.70796853834219,114.35685959690127,116.2454605102539,9012777,0.0029932088324347017,0.002988738101875832
2022-01-07 00:00:00+05:30,116.7850497924251,121.41020027925381,116.66942573520075,121.06331634521484,30889365,0.041445539583336855,0.04060968998524572
2022-01-10 00:00:00+05:30,121.98838489168911,122.87486765988771,120.56229164298365,122.06547546386719,16418985,0.008277975103496038,0.008243900583789099
2022-01-11 00:00:00+05:30,122.41236821946775,124.60930853434338,121.48734009939534,124.06970977783203,14457548,0.01641933811627294,0.01628599837130107
2022-01-12 00:00:00+05:30,125.41866002107292,127.73123523386111,124.41654174305822,127.15309143066406,21220614,0.024852009876974446,0.024548221558658767
2022-01-13 00:00:00+05:30,127.1531294477273,127.57710404930762,125.68850274667088,126.38227081298828,7445346,-0.006062146102803201,-0.006080595510280951
2022-01-14 00:00:00+05:30,125.61140086109074,125.8812060638886,123.49153980655069,124.14677429199219,11646259,-0.017688371213902543,-0.01784668004694545
2022-01-17 00:00:00+05:30,125.26451997700647,129.6584115560339,125.1103506125854,127.8469009399414,32577835,0.02980445258486175,0.029368932358041278
2022-01-18 00:00:00+05:30,129.7355095858939,129.81258839135617,125.95829524716663,126.30519104003906,11175409,-0.01205903223752447,-0.012132332247589694
2022-01-19 00:00:00+05:30,127.42291540722124,131.8168066083597,127.11456494252971,131.23866271972656,36648534,0.03905992809213665,0.03831638907947621
2022-01-20 00:00:00+05:30,131.73971975160313,131.73971975160313,128.34794688130847,128.6177520751953,14474454,-0.01997056804920716,-0.020172675165639475
2022-01-21 00:00:00+05:30,127.42293238786974,128.27086981344243,125.11035652515838,126.15100860595703,8625926,-0.019178872507397915,-0.019365172950831955
2022-01-24 00:00:00+05:30,127.3458329235083,129.7354991862979,126.22809035376541,127.73126220703125,28783449,0.012526682255948218,0.012448872496708674
2022-01-25 00:00:00+05:30,125.64994789005542,128.50212226882837,125.64994789005542,127.30728912353516,14249846,-0.00331925854462245,-0.003324779503644848
2022-01-27 00:00:00+05:30,127.26875412422467,130.0823831889949,126.80623427904983,127.73126220703125,25936832,0.0033303127135531074,0.003324779503644848
2022-01-28 00:00:00+05:30,129.1573527135184,134.66898665423798,128.15523424365085,130.1209259033203,32790065,0.018708526440581297,0.018535674501876542
2022-01-31 00:00:00+05:30,132.27934280239413,134.78463329666394,130.6990802919963,133.05020141601562,24031034,0.022511947961942447,0.02226229391490442
2022-02-01 00:00:00+05:30,134.12939560466535,134.82316363560406,129.88967332980522,131.7782745361328,14220953,-0.009559751630182078,-0.00960573937811482
2022-02-02 00:00:00+05:30,131.46993649472182,134.167941592921,131.4313912122738,132.04808044433594,12478192,0.002047423288496164,0.0020453301739422614
2022-02-03 00:00:00+05:30,131.04593578737175,132.00950884463182,127.96250200413947,129.11878967285156,12529302,-0.022183516501167122,-0.022433271239005848
2022-02-04 00:00:00+05:30,131.04596386150274,133.127279758594,130.31365053357402,130.7376251220703,17434362,0.012537566788849208,0.01245962231159048
2022-02-07 00:00:00+05:30,131.58555535048376,133.58979233444506,130.42926749720644,132.66476440429688,11723574,0.014740510089786163,0.01463292472446387
2022-02-08 00:00:00+05:30,132.58767771645523,133.35853630782995,128.34795546389415,128.69483947753906,13231599,-0.029924486313935184,-0.030381361353905234
2022-02-09 00:00:00+05:30,129.42716006773355,130.73762915668533,125.72704803088169,126.38227081298828,17938632,-0.017969397016532218,-0.018132807178971255
2022-02-10 00:00:00+05:30,127.84688280734902,131.35427945935442,127.30727246485569,130.3521728515625,26763203,0.031411858744401,0.03092860028473776
2022-02-11 00:00:00+05:30,129.4657036743987,131.4313955199867,128.81048090078212,129.619873046875,12884995,-0.0056178565241210565,-0.005633696030655777
2022-02-14 00:00:00+05:30,130.19799961617318,135.94090501299647,127.34582543822546,128.11668395996094,44604164,-0.011596902940727793,-0.01166467146579997
2022-02-15 00:00:00+05:30,131.04595772678522,131.04595772678522,120.56227640369504,126.53643035888672,31146458,-0.012334487220790669,-0.012411188373810944
2022-02-16 00:00:00+05:30,126.8062131108257,130.1979855346794,126.8062131108257,129.92819213867188,15960268,0.02680462670051087,0.026451675945980746
2022-02-17 00:00:00+05:30,129.92822841585382,132.89602717477152,129.88968313070018,132.3949737548828,24640791,0.01898573031461992,0.018807750525872358
