Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,Rolling_Volatility_5,Rolling_Volatility_20,Moving_Average_5,Moving_Average_20,Volume_Change,Momentum_5,Future_Volatility_5
2024-08-19,225.72000122070312,225.9900054931641,223.0399932861328,225.88999938964844,40687800,-0.0007078241979617,-0.0007080748237822,0.11938880459642852,0.26136886338796494,223.93000183105468,218.46950149536133,-0.08237220400449252,0.03843148373679495,0.10561735127447724
2024-08-20,225.7700042724609,227.1699981689453,225.4499969482422,226.50999450683597,30299000,0.0027446771387078,0.0027409173903683,0.08623207140607744,0.2610415899599342,224.97799987792968,218.54450149536132,-0.2553296074007442,0.02368143052920435,0.10679588567307616
2024-08-21,226.5200042724609,227.97999572753903,225.0500030517578,226.3999938964844,34765500,-0.000485632479887,-0.0004857504375301,0.09271323537267381,0.2367640255626909,225.91399841308595,218.9375015258789,0.14741410607610805,0.02110767025985516,0.12184018161375307
2024-08-22,227.7899932861328,228.33999633789065,223.8999938964844,224.52999877929688,43695300,-0.0082596959699676,-0.0082939962626307,0.08389474260039391,0.2383629731500304,225.8759979248047,219.28950119018555,0.25685809207403887,-0.0008455074776350102,0.1301487517027494
2024-08-23,225.66000366210935,228.22000122070312,224.3300018310547,226.83999633789065,38677300,0.010288146667049,0.0102355838944019,0.10630390178670457,0.24033335344029902,226.03399658203125,219.7335006713867,-0.11484072657700028,0.0034947722869613784,0.12926823699009793
2024-08-26,226.75999450683597,227.27999877929688,223.88999938964844,227.17999267578125,30602200,0.0014988376978466,0.0014977155617508,0.10561735127447724,0.2403261376731243,226.2919952392578,220.18050003051758,-0.20878137822443654,0.005710714461102162,0.24655147407046643
2024-08-27,226.0,228.8500061035156,224.88999938964844,228.02999877929688,35934600,0.0037415535298863,0.0037345713292431,0.10679588567307616,0.24039804274586046,226.59599609375,220.64199981689453,0.17424891020906985,0.006710539531689541,0.23785313411538378
2024-08-28,227.9199981689453,229.8600006103516,225.67999267578125,226.4900054931641,38052200,-0.0067534679400815,-0.0067763758012828,0.12184018161375307,0.23735952268446028,226.61399841308594,220.8625,0.05892927707557627,0.00039757773456861045,0.2556470666494001
2024-08-29,230.1000061035156,232.9199981689453,228.8800048828125,229.7899932861328,51906300,0.0145701254489498,0.0144650010579221,0.1301487517027494,0.23207762869429507,227.66599731445314,221.43399963378906,0.3640814460136339,0.02342668924167368,0.19885801422417368
2024-08-30,230.19000244140625,230.3999938964844,227.47999572753903,229.0,52990800,-0.0034378924636161,-0.003443815595201,0.12926823699009793,0.23242593640830334,228.097998046875,221.8909996032715,0.020893417562030114,0.00952214643352356,0.2061197087498334
2024-09-03,228.5500030517578,229.0,221.1699981689453,222.7700042724609,50190600,-0.0272052215176378,-0.0275821352986591,0.24655147407046643,0.17406517557633208,227.21600036621095,222.56599960327148,-0.05284313503476079,-0.019411869643001678,0.09933243936399283
2024-09-04,221.66000366210935,221.77999877929688,217.47999572753903,220.8500061035156,43840200,-0.0086187463847109,-0.0086561025765705,0.23785313411538378,0.17298649215930026,225.78000183105468,223.24700012207032,-0.1265256840922404,-0.03148705308168931,0.12034877924033634
2024-09-05,221.6300048828125,225.47999572753903,221.5200042724609,222.3800048828125,36615400,0.00692777331679,0.0069038865531592,0.2556470666494001,0.17016432067320061,224.95800170898437,223.875,-0.16479851825493497,-0.018146498788776055,0.11089243420409445
2024-09-06,223.9499969482422,225.2400054931641,219.7700042724609,220.82000732421875,48423000,-0.0070150082037089,-0.0070397290529031,0.19885801422417368,0.16568446185439972,223.16400451660155,224.25050048828126,0.3224763350939768,-0.039035581287235166,0.092642018863782
2024-09-09,220.82000732421875,221.2700042724609,216.7100067138672,220.91000366210935,67180000,0.0004075551802626,0.0004074721522089,0.2061197087498334,0.15961290859422883,221.54600524902344,224.4840003967285,0.38735724758895573,-0.03532749492528675,0.23179419914774219
2024-09-10,218.9199981689453,221.47999572753903,216.72999572753903,220.1100006103516,51591000,-0.0036213980285901,-0.0036279711645237,0.09933243936399283,0.15934930650719736,221.01400451660157,224.61300048828124,-0.23204822863947605,-0.0119405827135326,0.23630573254986528
2024-09-11,221.4600067138672,223.08999633789065,217.88999938964844,222.66000366210935,44587100,0.0115851303652119,0.0115185365807013,0.12034877924033634,0.15285239581258678,221.37600402832032,224.68250045776367,-0.13575817487546282,0.008195596597563082,0.26348651338511553
2024-09-12,222.5,223.5500030517578,219.82000732421875,222.7700042724609,37455600,0.000494029500325,0.0004939075079279,0.11089243420409445,0.15272049631959722,221.45400390625,224.73500061035156,-0.15994536536352444,0.0017537520509269822,0.3803418153029256
2024-09-13,223.5800018310547,224.0399932861328,221.91000366210935,222.5,36766600,-0.0012120315450131,-0.001212766649286,0.092642018863782,0.14455716237431004,221.79000244140624,224.6240005493164,-0.01839511314729969,0.007607973100528964,0.3824155782296841
2024-09-16,216.5399932861328,217.22000122070312,213.9199981689453,216.32000732421875,59357400,-0.0277752479810393,-0.0281682748934359,0.23179419914774219,0.1724535844552879,220.87200317382812,224.13750076293945,0.6144381041488742,-0.02077767535105013,0.2854339310152018
2024-09-17,215.75,216.8999938964844,214.5,216.7899932861328,45519300,0.002172642132032,0.0021702853581153,0.23630573254986528,0.17308532934813753,220.20800170898437,223.68250045776367,-0.2331318420281212,-0.01508340064064606,0.28293291251777103
2024-09-18,217.5500030517578,222.7100067138672,217.5399932861328,220.69000244140625,59894900,0.017989802463465,0.0178299008516988,0.26348651338511553,0.18640611145806868,219.81400146484376,223.3915008544922,0.3158132923836703,-0.008847575623382342,0.2858643817758094
2024-09-19,224.9900054931641,229.82000732421875,224.6300048828125,228.8699951171875,66781300,0.0370655334871956,0.036395122513138,0.3803418153029256,0.22952952942688087,221.03399963378905,223.51500091552734,0.11497473073667375,0.027382460509656203,0.08707260344076859
2024-09-20,229.97000122070312,233.08999633789065,227.6199951171875,228.1999969482422,318679900,-0.0029274181117636,-0.0029317113810076,0.3824155782296841,0.22757236828878902,222.1739990234375,223.6985008239746,3.7719930579368777,0.025617963812324396,0.08676982969318818
2024-09-23,227.33999633789065,229.4499969482422,225.80999755859372,226.47000122070312,54146000,-0.007581050616453,-0.0076099328450283,0.2854339310152018,0.2265839282721655,224.20399780273436,223.68000106811525,-0.8300928298270459,0.04692119800676431,0.1611173780667085
2024-09-24,228.6499938964844,229.3500061035156,225.72999572753903,227.3699951171875,43556100,0.0039740093241191,0.0039661338070882,0.28293291251777103,0.22698119155512386,226.31999816894532,223.68950119018555,-0.1955804676245706,0.048802999025377325,0.29987164188794896
2024-09-25,224.92999267578125,227.2899932861328,224.0200042724609,226.3699951171875,42308700,-0.0043981177001151,-0.00440781787188,0.2858643817758094,0.22706437347293335,227.45599670410155,223.60650100708008,-0.028638927727689167,0.02573742631268172,0.2989754965771366
2024-09-26,227.3000030517578,228.5,225.41000366210935,227.5200042724609,36636700,0.0050802190223051,0.00506735824829,0.08707260344076859,0.22652045583579772,227.18599853515624,223.65800094604492,-0.13406226142613697,-0.005898505149333211,0.2974671837836402
2024-09-27,228.4600067138672,229.5200042724609,227.3000030517578,227.7899932861328,34026000,0.0011866605511687,0.0011859570260455,0.08676982969318818,0.22026805042022105,227.10399780273437,223.55800094604493,-0.071259147248524,-0.001796685659914199,0.30094970104917257
2024-09-30,230.0399932861328,233.0,229.6499938964844,233.0,54541900,0.0228719736047524,0.0226143311463813,0.1611173780667085,0.2345110274900648,228.40999755859374,223.75800094604492,0.6029477458414154,0.028833835581310252,0.24517701200238384
2024-10-01,229.5200042724609,229.6499938964844,223.7400054931641,226.2100067138672,63285000,-0.0291416020864069,-0.0295746525161577,0.29987164188794896,0.23780041622823722,228.1779998779297,223.93000106811525,0.16030061292327558,-0.005101765528571445,0.23897558243426353
2024-10-02,225.88999938964844,227.3699951171875,223.0200042724609,226.77999877929688,32880600,0.002519747352073,0.002516578111388,0.2989754965771366,0.2352220087744942,228.26000061035157,224.22650070190429,-0.48043612230386346,0.0018112102794238805,0.268685678549909
2024-10-03,225.13999938964844,226.80999755859372,223.32000732421875,225.6699981689453,34044200,-0.0048946142354988,-0.0049066320909707,0.2974671837836402,0.23524261250867293,227.88999938964844,224.39100036621093,0.0353886486256334,-0.008131179978795089,0.2646700202473138
2024-10-04,227.8999938964844,228.0,224.1300048828125,226.8000030517578,37245100,0.0050073332387166,0.0049948382393596,0.30094970104917257,0.23384231630489347,227.69200134277344,224.69000015258788,0.09402188919111043,-0.0043460655145260985,0.2716490060268957
2024-10-07,224.5,225.69000244140625,221.3300018310547,221.69000244140625,39505400,-0.0225308665855061,-0.0227885646907539,0.24517701200238384,0.24906441865608756,225.43000183105468,224.72900009155273,0.060687177642159584,-0.048540762054050446,0.1880315153867602
2024-10-08,224.3000030517578,225.97999572753903,223.25,225.7700042724609,31855700,0.0184040858230991,0.0182367802552692,0.23897558243426353,0.2566131894384419,225.34200134277344,225.0120002746582,-0.19363681927027698,-0.0019451060003849996,0.17055066971030983
2024-10-09,225.22999572753903,229.75,224.8300018310547,229.5399932861328,33591100,0.016698360908574,0.0165604761294622,0.268685678549909,0.25988725956195313,225.8940002441406,225.3559997558594,0.05447690680160844,0.012170361238611482,0.17658184950067463
2024-10-10,227.77999877929688,229.5,227.1699981689453,229.0399932861328,28183500,-0.0021782696463562,-0.0021806455265149,0.2646700202473138,0.260200743111422,226.56799926757813,225.66949920654298,-0.1609831175519706,0.014933288184212135,0.1730266416385196
2024-10-11,229.3000030517578,229.41000366210935,227.33999633789065,227.5500030517578,31759200,-0.0065053714549913,-0.0065266236027587,0.2716490060268957,0.26158514377902725,226.71799926757814,225.92199935913087,0.1268721060194795,0.0033068782623819626,0.16077787715671757
2024-10-14,228.6999969482422,231.72999572753903,228.6000061035156,231.3000030517578,39882100,0.0164798943076569,0.0163455745573077,0.1880315153867602,0.24250295136113673,228.63999938964844,226.6709991455078,0.25576525857074484,0.043348822700705725,0.13563357157665892
2024-10-15,233.6100006103516,237.4900054931641,232.3699951171875,233.8500061035156,64751400,0.0110246563688423,0.0109643278406954,0.17055066971030983,0.24394141283155607,230.25599975585936,227.52399978637695,0.6235704739720325,0.035788641883993,0.12851003641800998
2024-10-16,231.6000061035156,232.1199951171875,229.83999633789065,231.77999877929688,34082200,-0.008851859184055,-0.0088912696324268,0.17658184950067463,0.24197241983617176,230.7040008544922,228.0784996032715,-0.47364535747489633,0.009758671946860975,0.205713365286037
2024-10-17,233.42999267578125,233.8500061035156,230.5200042724609,232.1499938964844,32993800,0.0015963203000091,0.0015950475350727,0.1730266416385196,0.20609668393049296,231.3260009765625,228.24249954223632,-0.031934558215138686,0.013578417313636404,0.20459206004663144
2024-10-18,236.17999267578125,236.17999267578125,234.00999450683597,235.0,46431500,0.0122765719510913,0.0122018259694867,0.16077787715671757,0.20952096337951098,232.81600036621094,228.5824996948242,0.40727954949111655,0.0327400432798397,0.17582055825351972
2024-10-21,234.4499969482422,236.8500061035156,234.4499969482422,236.47999572753903,36254500,0.0062978541597407,0.0062781055487759,0.13563357157665892,0.20732809335901908,233.85199890136718,229.082999420166,-0.21918309768153088,0.022395125842787467,0.1840362695462378
2024-10-22,233.88999938964844,236.22000122070312,232.6000061035156,235.8600006103516,38846600,-0.0026217655970436,-0.00262520844334,0.12851003641800998,0.20788701391038428,234.25399780273438,229.50749969482422,0.07149733136576142,0.00859522965308912,0.18597975813174747
2024-10-23,234.0800018310547,235.13999938964844,227.75999450683597,230.75999450683597,52287000,-0.0216230225147036,-0.02186022566557,0.205713365286037,0.22348147716245992,234.04999694824218,229.72699966430665,0.3459865213429232,-0.004400743281702035,0.14285937614166325
2024-10-24,229.97999572753903,230.82000732421875,228.41000366210935,230.57000732421875,31109500,-0.0008233107433687,-0.0008236498497975,0.20459206004663144,0.22302344024704604,233.73399963378907,229.87949981689454,-0.4050241933941515,-0.006805886770646086,0.1910323657244474
2024-10-25,229.7400054931641,233.22000122070312,229.57000732421875,231.41000366210935,38802300,0.0036431292501519,0.0036365091285519,0.17582055825351972,0.22326874307832686,233.01600036621093,230.06050033569335,0.2472813770713127,-0.015276580161236786,0.18581265008085335
2024-10-28,233.32000732421875,234.72999572753903,232.5500030517578,233.3999938964844,36087100,0.0085994131752431,0.0085626488392236,0.1840362695462378,0.21024127822728034,232.4,230.08050003051758,-0.0699752334268845,-0.013024365217780498,0.13055638276809797
2024-10-29,233.1000061035156,234.3300018310547,232.32000732421875,233.6699981689453,35417200,0.0011568306749001,0.0011561620618927,0.18597975813174747,0.17866780167790203,231.96199951171874,230.4534996032715,-0.018563420169534273,-0.00928517949520502,0.1610361177352984
2024-10-30,232.6100006103516,233.47000122070312,229.5500030517578,230.1000061035156,47070900,-0.0152779222553361,-0.0153958321970844,0.14285937614166325,0.18852064653108858,231.8300018310547,230.61949996948243,0.32904069209310727,-0.002860064218370484,0.1532498297567636
2024-10-31,229.33999633789065,229.8300018310547,225.3699951171875,225.91000366210935,64370100,-0.0182094842688587,-0.018377317487201,0.1910323657244474,0.19959799888577917,230.89800109863282,230.63150024414062,0.367513686800125,-0.020210797215947873,0.20776720713418198
2024-11-01,220.97000122070312,225.3500061035156,220.2700042724609,222.91000366210935,65276700,-0.013279624414008,-0.0133685870981237,0.18581265008085335,0.20415951717995853,229.1980010986328,230.4370002746582,0.014084178834583128,-0.03673134205732598,0.16957950161106222
2024-11-04,220.9900054931641,222.7899932861328,219.7100067138672,222.00999450683597,44944500,-0.0040375449306334,-0.0040457178215271,0.13055638276809797,0.18763661555548128,226.9200012207031,230.4529998779297,-0.311477142686441,-0.04880034142031742,0.199473749011465
2024-11-05,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422,28111300,0.0064862054728886,0.0064652605620487,0.1610361177352984,0.17686564854938008,224.8760009765625,230.33699951171874,-0.37453303518784276,-0.043736899476988,0.19557813996665308
2024-11-06,222.6100006103516,226.07000732421875,221.19000244140625,222.72000122070312,54561100,-0.0032669310248778,-0.0032722790950661,0.1532498297567636,0.16508639012029333,223.4,229.99599990844726,0.9408956540608224,-0.032073032103668964,0.1930552019418922
2024-11-07,224.6300048828125,227.8800048828125,224.57000732421875,227.47999572753903,42137700,0.0213721016556525,0.0211469210299579,0.20776720713418198,0.18355913239505442,223.71399841308593,229.9180000305176,-0.22769702223745492,0.006949634987293063,0.14898231749471386
2024-11-08,227.1699981689453,228.66000366210935,226.41000366210935,226.9600067138672,38328800,-0.0022858669924307,-0.0022884835745839,0.16957950161106222,0.18227713248617888,224.5239990234375,229.88850021362305,-0.0903917394637106,0.01816878105612929,0.18377014008414466
2024-11-11,225.0,225.6999969482422,221.5,224.22999572753903,42005600,-0.0120285993371946,-0.012101528350799,0.199473749011465,0.17603714099514806,224.96799926757814,229.5349998474121,0.09592786625200889,0.00999955531567176,0.18207907966768117
2024-11-12,224.5500030517578,225.58999633789065,223.3600006103516,224.22999572753903,40398300,0.0,0.0,0.19557813996665308,0.16989251231590122,225.1239990234375,229.0539993286133,-0.038263945759613005,0.0034907083909136993,0.18093343816401242
2024-11-13,224.00999450683597,226.6499938964844,222.75999450683597,225.1199951171875,48566200,0.0039691361843037,0.0039612799447406,0.1930552019418922,0.16920287197360387,225.60399780273437,228.72099914550782,0.2021842503273652,0.010775834605470047,0.18091752561321986
2024-11-14,225.0200042724609,228.8699951171875,225.0,228.22000122070312,44923900,0.013770460957508,0.013676509679076,0.14898231749471386,0.17733324892693988,225.7519989013672,228.52449951171874,-0.07499660257545371,0.00325305744268789,0.15774093076403864
2024-11-15,226.3999938964844,226.9199981689453,224.2700042724609,225.0,47923700,-0.0141091981573918,-0.0142096791509134,0.18377014008414466,0.17632284657262412,225.35999755859376,228.02449951171874,0.0667751464142694,-0.00863591230122851,0.09269001073205647
2024-11-18,225.25,229.7400054931641,225.1699981689453,228.0200042724609,44633700,0.0134222412109374,0.0133329609383734,0.18207907966768117,0.1824791214424762,226.1179992675781,227.60149993896485,-0.06865079282275788,0.01690232625936039,0.09044466810918193
